,mean,std,min,max,BMI,Label,BMI_category
OTU_0,5395.51,2793.4030890798426,249,9889,26.480767413029536,0.22,Healthy
OTU_1,4956.69,3029.1278529296087,13,9888,26.480767413029536,0.22,Healthy
OTU_2,4921.64,2958.058855452885,54,9765,26.480767413029536,0.22,Healthy
OTU_3,4554.82,2938.9448645334737,133,9897,26.480767413029536,0.22,Healthy
OTU_4,4742.8,2699.266615698839,163,9911,26.480767413029536,0.22,Healthy
OTU_5,4963.25,2744.592201222269,215,9961,26.480767413029536,0.22,Healthy
OTU_6,5625.46,2801.2916877033636,2,9760,26.480767413029536,0.22,Healthy
OTU_7,4649.57,2943.9860501940857,6,9915,26.480767413029536,0.22,Healthy
OTU_8,4653.26,2713.7825055211642,130,9784,26.480767413029536,0.22,Healthy
OTU_9,5108.49,2883.3377736697284,11,9900,26.480767413029536,0.22,Healthy
OTU_10,5070.48,3011.1499413501365,38,9991,26.480767413029536,0.22,Healthy
OTU_11,5156.53,2979.1697591168527,143,9739,26.480767413029536,0.22,Healthy
OTU_12,4291.97,2786.5284272475283,5,9655,26.480767413029536,0.22,Healthy
OTU_13,5112.33,2680.660419362996,195,9968,26.480767413029536,0.22,Healthy
OTU_14,4939.48,3188.681328661987,75,9940,26.480767413029536,0.22,Healthy
OTU_15,4831.0,2881.6026089590487,40,9866,26.480767413029536,0.22,Healthy
OTU_16,4772.13,2908.087405265988,148,9984,26.480767413029536,0.22,Healthy
OTU_17,4985.44,2752.4236787738087,9,9783,26.480767413029536,0.22,Healthy
OTU_18,4753.12,2878.413965216177,44,9944,26.480767413029536,0.22,Healthy
OTU_19,5013.19,3018.795350396538,60,9916,26.480767413029536,0.22,Healthy
OTU_20,5512.9,2693.289796752835,206,9977,26.480767413029536,0.22,Healthy
OTU_21,5312.94,2817.164111784628,49,9909,26.480767413029536,0.22,Healthy
OTU_22,5201.08,2732.684293525472,552,9984,26.480767413029536,0.22,Healthy
OTU_23,4660.88,2837.887236176329,74,9765,26.480767413029536,0.22,Healthy
OTU_24,5244.33,2717.749752696673,16,9829,26.480767413029536,0.22,Healthy
OTU_25,4416.65,2733.574757907804,249,9996,26.480767413029536,0.22,Healthy
OTU_26,5081.25,2908.434225479303,140,9905,26.480767413029536,0.22,Healthy
OTU_27,5052.34,2742.00570702793,224,9951,26.480767413029536,0.22,Healthy
OTU_28,5349.88,2862.4548773471492,4,9998,26.480767413029536,0.22,Healthy
OTU_29,5036.78,2939.6542969292404,141,9885,26.480767413029536,0.22,Healthy
OTU_30,5001.41,2820.718975238889,77,9973,26.480767413029536,0.22,Healthy
OTU_31,4858.24,2821.2182378998236,136,9802,26.480767413029536,0.22,Healthy
OTU_32,4851.63,3249.8090282819744,145,9989,26.480767413029536,0.22,Healthy
OTU_33,4698.03,2843.699139689483,138,9956,26.480767413029536,0.22,Healthy
OTU_34,5090.87,2919.422617106459,21,9805,26.480767413029536,0.22,Healthy
OTU_35,5342.97,2852.1496109305544,154,9949,26.480767413029536,0.22,Healthy
OTU_36,4968.6,2966.2734230347037,60,9776,26.480767413029536,0.22,Healthy
OTU_37,5306.43,3034.9638483361005,86,9917,26.480767413029536,0.22,Healthy
OTU_38,5317.21,2835.618170699292,62,9993,26.480767413029536,0.22,Healthy
OTU_39,5043.6,2733.4889645271883,225,9847,26.480767413029536,0.22,Healthy
OTU_40,5132.98,2679.9682757808755,9,9925,26.480767413029536,0.22,Healthy
OTU_41,4539.66,2655.654745191205,11,9943,26.480767413029536,0.22,Healthy
OTU_42,4892.38,2953.7909310312443,25,9941,26.480767413029536,0.22,Healthy
OTU_43,4795.23,3079.831324434781,128,9908,26.480767413029536,0.22,Healthy
OTU_44,4734.41,2765.9682802179273,55,9729,26.480767413029536,0.22,Healthy
OTU_45,4964.64,2864.114284864987,1,9874,26.480767413029536,0.22,Healthy
OTU_46,4626.06,2827.6167993630966,7,9959,26.480767413029536,0.22,Healthy
OTU_47,5220.21,2867.4532440773464,145,9908,26.480767413029536,0.22,Healthy
OTU_48,4453.53,2704.6040896810005,1,9641,26.480767413029536,0.22,Healthy
OTU_49,5107.08,3005.907166318556,174,9968,26.480767413029536,0.22,Healthy
